order,boundary,rtl_owner,reference_count,board_count,reference_hash,board_hash,reference_first,board_first,reference_last,board_last,status,notes
0,input_ddr_hash,DDR/input loopback,,,,,,,,,PENDING,
1,halo_window_hash,Tile/halo/front-end input,,,,,,,,,PENDING,
2,conv1_out_hash,Conv1/source feature,,,,,,,,,PENDING,
3,block1_input_hash,Feature bank/replay/source tap,,,,,,,,,PENDING,
4,block1_c1_hash,Block1 C1,,,,,,,,,PENDING,
5,block1_c2_hash,Block1 C2,,,,,,,,,PENDING,
6,block1_c3_hash,Block1 C3,,,,,,,,,PENDING,
7,block1_att_hash,Attention/residual,,,,,,,,,PENDING,
8,block1_out_hash,6-block scheduler,,,,,,,,,PENDING,
9,block6_out_hash,6-block scheduler,,,,,,,,,PENDING,
10,tail_rgb_hash,Tail input/concat or Upsampler/pixelshuffle/RGB,,,,,,,,,PENDING,
11,writer_in_hash,Writer/readback,,,,,,,,,PENDING,
12,writeback_hash,Writer/readback,,,,,,,,,PENDING,
